Repo,Scope,Standout_idea
agentii-ai/growth-hacking-kit,growth-marketing,TDD-for-growth: Principle VI reframes Red-Green-Refactor as a mandatory pilot phase (<10% budget) with a go/no-go validation checkpoint where /growthkit.implement literally PAUSES and offers Halt/Pivot/Proceed if k-factor<0.8 or engagement<5%.
agentii-ai/growth-hacking-kit,growth-marketing,"Self-documenting amendment trail: the constitution carries an embedded SYNC IMPACT REPORT header (version delta, which principles changed, which templates need updating) plus a semver amendment process — the governance doc tracks its own evolution machine-readably."
agentii-ai/growth-hacking-kit,growth-marketing,"The spec/plan/tasks artifacts ARE the context store: no vector DB, no memory layer — durable state lives entirely in numbered git-branched campaign folders with a JSON-emitting bootstrap script as the hand-off contract between phases."
anthropics/skills,vendor-baseline,The three-level loading contract (metadata always-on ~100 words / SKILL.md body on-trigger <500 lines / bundled scripts that execute WITHOUT being read into context) is stated as an explicit budget — the canonical formulation of progressive disclosure that every PM-OS repo inherits.
anthropics/skills,vendor-baseline,"skill-creator is a self-improving meta-skill: it builds a skill, then runs paired with-skill vs baseline subagent A/B evals, a grader that rejects surface-compliance, and a held-out-test description optimizer that picks the best trigger phrasing by generalization rather than train score."
anthropics/skills,vendor-baseline,"Description-as-the-only-trigger discipline: 'all when-to-use info goes in the description, not the body', plus deliberately 'pushy', keyword-dense, exclusion-bearing descriptions (docx's 'Do NOT use for PDFs...') to fight under-triggering — with a measurable optimizer to tune it."
anthropics/skills,vendor-baseline,"Subagents shipped as plain markdown Role/Inputs/Process/Output-Format docs inside the skill's own agents/ folder, JIT-loaded only when spawned — a lightweight, registry-free agent-definition convention."
anthropics/skills,vendor-baseline,"Authoring philosophy baked into skill-creator: 'explain the WHY instead of ALL-CAPS MUSTs', generalize from few examples (avoid overfit), and 'if 3 test runs all wrote the same helper script, bundle that script' — guidance that directly shapes how good skills get written."
anthropics/claude-plugins-official,vendor-baseline,"code-review encodes a 5-lens parallel reviewer panel + per-issue Haiku confidence scoring (verbatim 0-100 rubric, filter <80) + cheap-model eligibility triage entirely inside ONE command markdown file — no agent files, pure prompt orchestration with explicit model-tiering."
anthropics/claude-plugins-official,vendor-baseline,"skill-creator is a meta-skill that builds, eval-tests (background runs + generate_review.py), and then runs a description-improver to make a new skill's trigger description deliberately 'pushy' against under-triggering — skills treated as benchmarked, optimized artifacts."
anthropics/claude-plugins-official,vendor-baseline,"The marketplace is a pure pointer index: 243 plugins as sha-pinned git references (url / git-subdir / local) resolved lazily on install, with a strict:false skills[] mode that curates arbitrary skill subsets out of third-party SDK repos that never adopted the plugin manifest."
anthropics/claude-plugins-official,vendor-baseline,"Agent definitions are read-only by tool allowlist (code-explorer gets Grep/Read/etc. but no Edit/Write) and pinned to a model, then fanned out 2-3 in parallel on different facets, returning file lists the orchestrator reads — a clean context-firewall + least-privilege pattern."
anthropics/claude-plugins-official,vendor-baseline,"example-plugin documents that commands/*.md and skills/<name>/SKILL.md load through the identical engine — the only difference is file layout — collapsing the commands-vs-skills distinction to where the file sits, with skills/ as the forward format."
