Rank,Place,County,Type,TOTAL SCORE,Crime & safety,Schools,Rent cost,Close to SF,School/TK place,Urban density,2BR median rent $,3BR median rent $,2BR under $4k (est. listings),2BR under $4k supply,3BR under $4k (est. listings),3BR under $4k supply,Violent crime /1k,Property crime /1k,Elementary district,Elementary CAASPP % met,Elementary rating /10,Middle/high district,Middle/high CAASPP % met,Middle/high rating /10,"Drive to Ferry Bldg (min, off-peak)",Miles to SF (straight line),Urbanicity index,Population,District enrolment change 2023-25 %,School assignment system,TK capacity,Rank status,Sources,Notes
120,Haight Ashbury,San Francisco,SF neighbourhood,46.0,11.9,50.2,16.2,92.1,9.0,96.3,5203,7150,17% of 2BR stock,Few,2% of 3BR stock,Almost none,8.1,47.3,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,12.9,3.4,722720,17000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"? (3BR reconstructed from 2BR x 1.37); DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; 2BR: search results reported a 2BR range of $3,950-$6,899 with an average of $5,203, alongside the Zumper 2-bed page title '27 Rentals'; a competing figure of $4,495 was stated as the average for a 2BR 'near Haight-Ashbury' (wider radius, not neighborhood-scoped). Zumper's own all-bedroom neighborhood average is $3,205 (down ~7% YoY), so the $5,203 2BR figure sits well above the all-bed average - treat as indicative. 3BR: $4,700 average came from the same aggregated snippet that carried the Zumper $3,205 all-bed fi"
121,Santa Rosa,Sonoma,City,45.9,56.0,13.1,88.0,15.8,75.7,26.5,2400,3297,97% of 2BR stock,Plenty,75% of 3BR stock,Plenty,4.4,16.9,Santa Rosa Elementary,28.6,3,Santa Rosa High,31.2,4,58.6,47.8,146010,178127,-0.6,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); srcschools.org,"enrolment -0.6% 2023-25 (flat); address-based assignment; Complete row. Verified Santa Rosa, CALIFORNIA (Sonoma County) on every page — not Santa Rosa, NM. RENT: 2BR $2,400 and 3BR $3,297 from the SAME Zumper page (1BR $1,895, all-bed median $2,372, down 1% YoY) — same-publisher rule satisfied. CRIME: violent 4.423, property 16.85 (crimegrade.org/property-crime-santa-rosa-ca/); note CrimeGrade itself flags wide intra-city variation (1 in 142 odds in north neighbourhoods vs 1 in 277 in the west), so this citywide figure hides real spread across a 178k-population city. DIST"
122,American Canyon,Napa,City,45.7,37.4,21.6,98.8,34.9,56.0,25.6,2100,2650,99% of 2BR stock,Plenty,93% of 3BR stock,Plenty,4.9,21.3,Napa Valley Unified,38.9,5,Napa Valley Unified,36.0,5,44.8,27.2,132362,21837,-2.0,address-based attendance area,"Constrained. The district TK page states: ""If your resident school is at capacity for TK and your child is placed at another campus, your child will automatically be enrolled at your school of residence for kindergarten."" TK seats at the home school can and do run out, with placement at another campus as the fallback.",Ranked,crimegrade.org; CAASPP 2025 (CDE); nvusd.org,"enrolment -2.0% 2023-25 (flat); address-based assignment; TK constrained; Rent: standard Zumper city pattern; 3BR from the same page as the 2BR. Crime: both CrimeGrade pages resolved and named American Canyon. District: single UNIFIED district - Napa Valley Unified (K-12, 28 schools, headquartered in Napa) serves American Canyon, so the same name goes in both fields. The district is headquartered in a different city, which is expected here and is not a case of borrowing a neighbouring place's figure."
123,Chinatown,San Francisco,SF neighbourhood,45.6,4.8,50.2,17.4,99.5,9.0,92.6,4471,7752,35% of 2BR stock,Some,1% of 3BR stock,Almost none,14.5,59.8,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,5.3,0.7,692946,14800,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Only crime was requested. Both CrimeGrade neighbourhood slugs 404'd: https://crimegrade.org/violent-crime-chinatown-san-francisco-ca/ and the property equivalent. Also tried https://crimegrade.org/violent-crime-chinatown-ca/ -> 404. Deliberately did NOT substitute the citywide San Francisco figure, per instructions. Crime left null. District skipped (SF neighbourhood = San Francisco Unified by definition)."
124,Pleasant Hill,Contra Costa,City,45.6,45.8,30.0,59.9,45.6,42.9,49.3,2926,4195,87% of 2BR stock,Plenty,43% of 3BR stock,Some,4.3,25.6,Mt. Diablo Unified,44.4,6,Mt. Diablo Unified,42.6,7,37.1,21.0,298129,34613,0.4,address-based attendance area,"Constrained — ""TK locations are determined according to feeder pattern clusters,"" meaning TK is not hosted at every elementary school and a family's TK site may not be its home school.",Ranked,crimegrade.org; CAASPP 2025 (CDE); mdusd.org,"enrolment +0.4% 2023-25 (flat); address-based assignment; TK constrained; Zumper slug worked; both figures same page. GreatSchools listed two entries: Mt. Diablo Unified School District (K-12, 55 schools, based in Concord) and 'Contra Costa County ROP School District' (9-12, 1 school). Per instructions the ROP entry was IGNORED — it is a career/technical regional program, not a residential attendance district — so the unified district name goes in both fields. CrimeGrade pages both confirmed Pleasant Hill, CA."
125,Rio Vista,Solano,City,45.4,26.8,85.9,100.0,16.3,35.2,7.9,1500,,100% of 2BR stock,Plenty,,,5.1,33.4,Union Elementary,75.2,10,Union Elementary,74.7,10,58.2,45.6,41413,10265,1.4,address-based attendance area,"Not TK-specific, and a seat in the district is guaranteed: ""Resident registrations are always welcome and placement is always guaranteed at one of our Union School District schools."" The home school is not guaranteed, however — ""If a grade level is closed, you can still register, and placement at another District school will be offered."" No TK waitlist or TK lottery stated.",Ranked,crimegrade.org; CAASPP 2025 (CDE); unionsd.org; one bedroom count measured; the other converted at the 1.37x premium for comparability,"enrolment +1.4% 2023-25 (flat); address-based assignment; TK constrained; Zumper /rent-research/rio-vista-ca redirects to a generic national index (no Rio Vista data). RentCafe has a real Rio Vista page but shows n/a - its Yardi Matrix feed only covers buildings with 50+ units. ApartmentList and ApartmentFinder both 403. rentable.co states the 2BR average as 'around $1,500 per month'. NOTE: a WebSearch snippet floated $1,314 (2BR) / $1,517 (3BR) from apartmentfinder.com, but that page 403'd so I could not verify it on a fetched page - deliberately NOT reported. IMPORTANT: crime and distr"
126,Fairfield,Solano,City,45.3,52.0,18.5,97.6,28.4,46.4,28.8,2000,3050,99% of 2BR stock,Plenty,83% of 3BR stock,Plenty,4.4,18.9,Fairfield-Suisun Unified,35.0,4,Fairfield-Suisun Unified,35.1,5,50.1,36.8,156946,119881,0.0,address-based attendance area,"Not TK-specific. District-wide overflow rule applies to any grade at capacity: a late-registered student ""could be temporarily 'overflowed' to a school outside of their own assigned resident zone school if the grade is at capacity,"" with a right to transfer back when space opens. No TK waitlist, TK lottery, or TK seat limit stated.",Ranked,"crimegrade.org; CAASPP 2025 (CDE); fairfieldsuisunusd.aeries.net (the district's own enrollment system, linked from fsusd.org as air.fsusd.org)","enrolment +0.0% 2023-25 (flat); address-based assignment; TK constrained; All standard city slugs worked; each page self-identified as Fairfield, CA and GreatSchools confirmed Solano County (guarding against the Fairfield place-name collision — Fairfield is a common US city name). 2BR and 3BR from the same Zumper page; property crime from the property-crime-fairfield-ca equivalent. DISTRICT CAVEAT: GreatSchools listed TWO unified districts serving the city — Fairfield-Suisun Unified (20,359 students, 34 schools) and Travis Unified (5,405 students, 10 schools, the Travis AFB area). I fill"
127,Dixon,Solano,City,44.8,70.1,5.6,93.4,9.8,83.3,6.5,2268,3100,98% of 2BR stock,Plenty,82% of 3BR stock,Plenty,3.2,18.2,Dixon Unified,29.4,3,Dixon Unified,27.1,3,66.4,54.6,32611,18988,-2.3,address-based attendance area,"Weak signal only, not TK-specific: enrollment page states ""If space is unavailable at their grade level, your student may be reassigned to another school."" No TK waitlist, TK lottery, or TK seat-count language appears on the page. Treat TK capacity as not established.",Ranked,crimegrade.org; CAASPP 2025 (CDE); dixonusd.org,"enrolment -2.3% 2023-25 (flat); address-based assignment; Rent: standard Zumper city pattern; 2BR and 3BR from the same page. Crime: both CrimeGrade pages resolved and explicitly confirmed Dixon, California - I checked the state because Dixon collides with Dixon IL and Dixon MO. District: single UNIFIED district (Dixon Unified, K-12, 7 schools, ~3,460 students), same name in both fields; no separate elementary or high-school district was listed."
128,Lakeshore,San Francisco,SF neighbourhood,44.7,5.8,50.2,43.7,74.9,9.0,84.7,3140,5650,81% of 2BR stock,Plenty,11% of 3BR stock,Few,10.0,92.2,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,23.4,7.0,586786,14000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Complete. Rent: Zumper SF-neighbourhood pattern worked; page confirmed 'Lakeshore, San Francisco, CA', July 2026 data. 2BR ~$3,140 and 3BR ~$5,650 BOTH from that same page - same-publisher rule satisfied. Note the unusually wide 2BR-to-3BR spread (+80%); it is what the page states, not an artifact of mixing publishers. Crime: both CrimeGrade neighbourhood pages resolved and explicitly named Lakeshore (violent 6.486; property 40.08 - a high property figure, consistent with the Stonestown retail concentration). Prope"
129,Bernal Heights,San Francisco,SF neighbourhood,44.5,12.5,50.2,9.6,89.5,9.0,95.8,4795,8500,26% of 2BR stock,Few,0% of 3BR stock,Almost none,9.3,31.3,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,14.8,4.0,722090,25900,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; SF-neighbourhood Zumper pattern worked: /rent-research/san-francisco-ca/bernal-heights. 2BR ($4,795) and 3BR ($8,500) came from the SAME page in the same fetch, satisfying the same-publisher rule. Flag for the reader: the 3BR is 77% above the 2BR, a much larger jump than a normal bedroom premium — Bernal Heights has very few 3BR rental listings, so that figure likely rests on a thin sample of large single-family homes. It is reported as seen, not smoothed. Crime: SF-neighbourhood slug form worked on both violent an"
130,Tenderloin,San Francisco,SF neighbourhood,44.4,0.8,50.2,10.8,98.1,9.0,97.2,6170,7000,6% of 2BR stock,Very few,2% of 3BR stock,Very few,57.9,112.4,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,7.1,1.4,725987,28000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Rent: SF-neighbourhood Zumper pattern worked exactly (zumper.com/rent-research/san-francisco-ca/tenderloin); page self-identified as 'Tenderloin, San Francisco, CA'. 2BR and 3BR both from that one page (1BR $4,000 also shown), so same-publisher rule satisfied. Crime: BOTH crimegrade.org/violent-crime-tenderloin-san-francisco-ca/ and the property equivalent returned HTTP 404; a fallback attempt at crimegrade.org/violent-crime-tenderloin-ca/ also 404'd. Left null rather than substituting the citywide San Francisco fi"
131,Suisun City,Solano,City,44.2,47.1,18.5,95.2,29.3,46.4,28.4,2341,2950,97% of 2BR stock,Plenty,86% of 3BR stock,Plenty,5.1,16.5,Fairfield-Suisun Unified,35.0,4,Fairfield-Suisun Unified,35.1,5,49.5,36.1,155760,29518,0.0,address-based attendance area,"Not TK-specific. District-wide overflow rule applies to any grade at capacity: a late-registered student ""could be temporarily 'overflowed' to a school outside of their own assigned resident zone school if the grade is at capacity,"" with a right to transfer back when space opens. No TK waitlist, TK lottery, or TK seat limit stated.",Ranked,"crimegrade.org; CAASPP 2025 (CDE); fairfieldsuisunusd.aeries.net (the district's own enrollment system, linked from fsusd.org as air.fsusd.org)","enrolment +0.0% 2023-25 (flat); address-based assignment; TK constrained; Clean run — all three sources hit on the suisun-city-ca slug and every page self-identified as Suisun City. 2BR and 3BR from the same Zumper page. Collision note: kept distinct from the adjacent and larger city of Fairfield; no Fairfield figures were used. Single UNIFIED district (Fairfield-Suisun Unified, K-12, headquartered in Fairfield) serves K-12, so the same name is correctly repeated in both district fields."
132,Mission Bay,San Francisco,SF neighbourhood,44.1,6.2,50.2,7.8,96.7,9.0,94.4,6644,7032,3% of 2BR stock,Very few,2% of 3BR stock,Very few,14.3,50.5,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,8.3,1.8,712620,17000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; CRIME = NULL. Both CrimeGrade neighbourhood slugs 404'd: crimegrade.org/violent-crime-mission-bay-san-francisco-ca/ and the property equivalent, plus an alternate 'violent-crime-in-mission-bay-san-francisco-ca' form. Per instructions I did NOT substitute the citywide San Francisco figure. Did not attempt crimegrade.org/violent-crime-mission-bay-ca/ because that slug would collide with Mission Bay, San Diego. RENT not re-fetched — batch brief listed this place as 'still needs: crime' only, so rent is already held up"
133,Vacaville,Solano,City,44.0,57.1,22.5,95.8,18.1,48.1,22.3,2249,2975,98% of 2BR stock,Plenty,85% of 3BR stock,Plenty,3.7,20.9,Vacaville Unified,38.9,5,Vacaville Unified,36.1,5,57.3,44.6,113477,102386,-0.2,"address-based attendance area — ""All incoming students are assigned to their school of residence""; district provides a school locator tool and school boundary maps. A short list of schools/programs is boundary-exempt (Buckingham Charter, Ernest Kimme Charter, Sierra Vista K-8, Fairmont Elementary).","Widely available with a space caveat — ""TK is offered at all elementary schools in the Vacaville Unified School District"" (10 sites listed; Alamo is PM-class only and Fairmont is AM-class only). No waitlist or lottery, but ""Students are placed in schools on a space-available basis. If your school of residence is full at the time you enroll your child, your child may be 'overflowed' to another school within the District"" — an overflowed student is guaranteed a spot at the school of residence the following year.",Ranked,crimegrade.org; CAASPP 2025 (CDE); vacavilleusd.org,"enrolment -0.2% 2023-25 (flat); address-based assignment; TK constrained; Rent: standard Zumper city pattern; 3BR from the same page as the 2BR. Crime: both CrimeGrade pages resolved and named Vacaville. District: single UNIFIED district (Vacaville Unified, K-12, 19 schools, 13,503 students), so the same name is in both fields. The page also lists Travis Unified (Fairfield-based, 5,405 students) as serving part of the Vacaville area, so some addresses fall outside Vacaville Unified."
134,Larkfield-Wikiup,Sonoma,Unincorporated community,44.0,88.6,25.8,87.4,12.1,31.4,18.6,2400,3299,97% of 2BR stock,Plenty,75% of 3BR stock,Plenty,2.6,11.1,Mark West Union Elementary,49.5,7,Santa Rosa High,31.2,4,63.2,52.7,91668,8884,2.2,address-based attendance area,"Not TK-specific, and a seat in the district is guaranteed: ""Resident registrations are always welcome and placement is always guaranteed at one of our Union School District schools."" The home school is not guaranteed, however — ""If a grade level is closed, you can still register, and placement at another District school will be offered."" No TK waitlist or TK lottery stated.",Ranked,areavibes.com (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE); unionsd.org,"enrolment +2.2% 2023-25 (flat); address-based assignment; TK constrained; PASS-2 TARGETS WERE CRIME + DISTRICT; both resolved. CRIME CONVERTED: areavibes reports 2024 figures per 100,000 — violent 260/100k and property 1,112/100k — which I divided by 100 to get 2.60 and 11.12 per 1,000. Both figures are off the same areavibes page. IMPORTANT CAVEAT: that page states plainly that Larkfield-Wikiup is not covered by the FBI's uniform crime reporting program and that these are modeled estimates from demographics (income, poverty, education, population density), not reported counts — treat as"
135,Hayes Valley,San Francisco,SF neighbourhood,43.8,1.8,50.2,6.6,95.8,9.0,99.1,5954,8182,8% of 2BR stock,Very few,1% of 3BR stock,Almost none,20.2,147.9,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,9.6,2.2,739613,9500,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"? (3BR reconstructed from 2BR x 1.37); DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; CRIME NULL - VERIFIED MISS, not a lookup failure I gave up on. Tried both documented CrimeGrade slug forms: https://crimegrade.org/violent-crime-hayes-valley-san-francisco-ca/ and the property equivalent (both HTTP 404), then the bare form https://crimegrade.org/violent-crime-hayes-valley-ca/ (also 404). Per instructions I did NOT substitute the citywide San Francisco figure. Rent was not in scope for this run (batch listed 'still needs: crime' only), so rent fields are null here rather than carried over - I fetche"
136,Antioch,Contra Costa,City,43.7,49.0,0.0,97.0,19.5,66.2,30.7,2062,2995,99% of 2BR stock,Plenty,85% of 3BR stock,Plenty,4.4,20.7,Antioch Unified,21.5,1,Antioch Unified,20.0,1,56.3,35.2,182704,115291,1.1,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); antiochschools.net,"enrolment +1.1% 2023-25 (flat); address-based assignment; Zumper slug worked; both figures same page. GreatSchools listed Antioch Unified School District (K-12, 29 schools) and 'Contra Costa County Office Of Education School District' (based in Pleasant Hill). The County Office of Education entry was IGNORED per instructions — not a residential attendance district — leaving Antioch Unified as the K-12 unified district in both fields. CrimeGrade pages both confirmed Antioch, CA."
137,Half Moon Bay,San Mateo,City,43.3,43.6,23.7,21.0,48.4,98.8,24.2,4839,6500,25% of 2BR stock,Few,4% of 3BR stock,Very few,4.6,21.0,Cabrillo Unified,41.9,6,Cabrillo Unified,34.3,5,36.1,23.0,129025,11795,-8.0,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); cabrillo.us,"enrolment -8.0% 2023-25 (seats opening); address-based assignment; All four patterns worked first try. 2BR and 3BR from the same Zumper page. GreatSchools confirmed San Mateo County and showed a single K-12 unified district (Cabrillo Unified), so the same name is correctly placed in both district fields per instructions."
138,Petaluma,Sonoma,City,43.1,40.2,36.6,77.2,35.3,51.2,17.7,2597,3524,94% of 2BR stock,Plenty,67% of 3BR stock,Plenty,4.7,22.1,Petaluma City Elementary,44.7,6,Petaluma Joint Union High,47.7,8,44.5,33.0,87700,59776,2.3,address-based attendance area,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); petalumacityschools.org,"enrolment +2.3% 2023-25 (flat); address-based assignment; Complete, all four fetches clean. Zumper city pattern worked; 2BR ($2,597) and 3BR ($3,524) both from the SAME page (1BR $2,150). Both CrimeGrade pages resolved and named Petaluma explicitly; property from https://crimegrade.org/property-crime-petaluma-ca/. DISTRICT: this is a true split-district case. GreatSchools lists ten elementary districts touching Petaluma (Petaluma City Elementary, Old Adobe Union, Liberty, Dunham, Cinnabar, Laguna Joint, Waugh, Two Rock Union, Wilmar Union, Lincoln) plus one high school di"
139,Mission,San Francisco,SF neighbourhood,42.9,1.7,50.2,3.6,93.0,9.0,100.0,4097,11672,47% of 2BR stock,Some,0% of 3BR stock,Almost none,28.2,67.4,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,11.0,2.7,745157,58800,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Batch listed Mission as needing crime only, so rent was not re-fetched this run — rent nulls mean 'not collected by me', not 'unavailable'. Crime: SF-neighbourhood CrimeGrade slug pattern (violent-crime-mission-san-francisco-ca/ and property-crime-mission-san-francisco-ca/) both resolved and both pages self-identified as 'Mission, San Francisco, CA' — no citywide SF substitution. District skipped per instructions (SF neighbourhoods are all SFUSD); left null because I did not fetch a page confirming it."
140,Western Addition,San Francisco,SF neighbourhood,42.9,6.3,50.2,0.0,94.0,9.0,97.7,6760,13950,3% of 2BR stock,Very few,0% of 3BR stock,Almost none,13.9,58.4,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,10.3,2.4,727035,25000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Rent: SF-neighbourhood Zumper pattern worked (/rent-research/san-francisco-ca/{hood-slug}). Both 2BR and 3BR from the SAME page and same bedroom-breakdown table. WARNING on the 3BR: $13,950 is an outlier — it exceeds the 4BR on the same table ($7,645) and the page itself states 'This report has limited data'. I re-fetched and confirmed the row is genuinely published with its own trend data ('3 bedroom Average rent $13,950 Last 30 days down 26%'), so I am reporting it as seen rather than suppressing it, but a carefu"
141,Financial District/South Beach,San Francisco,SF neighbourhood,42.8,1.3,50.2,4.8,100.0,9.0,91.2,6210,8534,6% of 2BR stock,Very few,0% of 3BR stock,Almost none,27.7,134.7,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,4.0,0.3,688223,19000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"? (3BR reconstructed from 2BR x 1.37); DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; CRIME: CONFIRMED UNCHANGED, both figures re-fetched this run. crimegrade.org/violent-crime-financial-district-san-francisco-ca/ states verbatim 'The violent crime rate in Financial District is 26.95 per 1,000 residents in a typical year' (grade F), and its breakdown table sums to it exactly: assault 21.82 + robbery 4.413 + rape 0.5477 + murder 0.1767 = 26.96. crimegrade.org/property-crime-financial-district-san-francisco-ca/ states 'The property crime rate in Financial District is 135.3 per 1,000 residents in a typ"
142,North Beach,San Francisco,SF neighbourhood,42.6,5.0,50.2,2.4,99.1,9.0,89.8,7818,9495,1% of 2BR stock,Almost none,0% of 3BR stock,Almost none,14.1,62.0,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,5.9,0.9,677310,13000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Rent: Zumper SF-neighbourhood URL pattern worked; 2BR and 3BR both from that single page. Crime: the neighbourhood slug form https://crimegrade.org/violent-crime-north-beach-san-francisco-ca/ and its property-crime equivalent both resolved and are explicitly about North Beach, San Francisco - no citywide SF substitution was needed or used. DISTRICT CAVEAT: per the task instruction, district lookup is skipped for SF neighbourhoods because they are all San Francisco Unified; the district names here come from that ins"
143,Treasure Island,San Francisco,SF neighbourhood,42.3,5.9,50.2,10.2,95.3,9.0,83.3,5579,,12% of 2BR stock,Few,,,14.9,49.9,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,9.8,2.3,580372,2500,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu; one bedroom count measured; the other converted at the 1.37x premium for comparability","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; PASS-2 TARGET WAS RENT; GENUINELY UNRESOLVED, and this is a different failure from the small-CDP case. Treasure Island does have rentals — RentCafe's listings page for the neighborhood carries per-bedroom ASKING RANGES (2BR $4,999-$11,047; 3BR $4,075-$10,299) plus an all-unit-type average of $2,616. A range is not a median and its midpoint would be an invented number, so I left both fields null rather than compute one. The $2,616 all-bedroom average is also plainly inconsistent with those ranges (the island mixes d"
144,Sebastopol,Sonoma,City,42.2,55.0,59.2,86.8,15.3,21.2,15.8,2536,3250,95% of 2BR stock,Plenty,77% of 3BR stock,Plenty,4.2,19.4,Sebastopol Union Elementary,48.5,7,West Sonoma County Union High,51.5,8,58.8,48.0,75168,7521,10.2,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +10.2% 2023-25 (filling); RENT: standard Zumper city pattern; page confirmed Sebastopol, CA, updated 2026-08-08. 2BR $2,536 and 3BR $3,250 both from the SAME page and same publisher. CAVEAT: the page is internally inconsistent — its detailed table gives 1BR $1,999 / 2BR $2,536 / 3BR $3,250 while its prose says '1-bedroom apartments run $2,000 on average, while 2-bedroom apartments are $2,200'. I took both bedroom figures from the table so the pair stays same-page and same-basis; had I taken the prose 2BR $2,200 with the table 3BR the compar"
145,Bayview Hunters Point,San Francisco,SF neighbourhood,42.0,3.1,50.2,15.6,86.5,9.0,87.4,4495,7950,34% of 2BR stock,Some,1% of 3BR stock,Almost none,20.1,66.5,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,16.3,4.6,655817,37700,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Only rent was requested. The full-name slug .../san-francisco-ca/bayview-hunters-point did NOT resolve — it fell through to Zumper's generic US/Canada national trends page, and I rejected everything on it (that page shows only city-level medians like New York $4,493 / San Francisco $4,295, no Bayview figures). The shortened slug .../san-francisco-ca/bayview returned a real neighbourhood page titled 'Bayview, San Francisco, CA' with 1BR $2,800, 2BR $4,495, 3BR $7,950, overall median $4,397/mo (Aug 2026). 2BR and 3BR"
146,Novato,Marin,City,41.9,52.3,37.3,53.3,50.0,37.4,21.4,3072,4725,83% of 2BR stock,Plenty,28% of 3BR stock,Few,4.5,17.9,Novato Unified,48.6,7,Novato Unified,46.0,7,35.6,23.6,103727,53225,2.5,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +2.5% 2023-25 (flat); RENT: standard Zumper city pattern; page confirmed Novato, CA, updated 2026-08-09. 2BR $3,072 and 3BR $4,725 from the SAME page (1BR $2,645). Page notes rents down 3% month-over-month and down 6% year-over-year. CRIME: violent 4.495 from the URL above, property 17.91 from https://crimegrade.org/property-crime-novato-ca/ (graded D+) — same publisher, place confirmed on both. DISTRICT: https://www.greatschools.org/california/novato/ names exactly one district, Novato Unified School District, Grades K-12, 17 schools —"
